rfp_id,sku_id,category,final_score,baseline_score,structured_score,semantic_score,standards_score,shap_structured,shap_semantic,shap_standards,dominant_feature
RFP_0001,SKU_269,partially matching,0.7098403175671895,0.6691409972959177,0.6666666666666666,0.588356614112854,1.0,-0.011808941058941036,-0.007491738669787118,0.06000000000000001,Standards score
RFP_0002,SKU_277,partially matching,0.5930261115233104,0.6691409972959177,0.8333333333333334,0.5878648161888123,0.0,0.07152439227439233,-0.007639278046999642,-0.13999999999999999,Standards score
RFP_0003,SKU_270,matching,0.7668242375055949,0.6691409972959177,0.8333333333333334,0.5005252361297607,1.0,0.07152439227439233,-0.033841152064715094,0.06000000000000001,Structured score
RFP_0004,SKU_125,matching,0.7467240989208221,0.6691409972959177,0.7,0.6557469964027405,1.0,0.004857725607725627,0.012725376017178824,0.06000000000000001,Standards score
RFP_0005,SKU_206,partially matching,0.6997900982697804,0.6691409972959177,0.6666666666666666,0.5548558831214905,1.0,-0.011808941058941036,-0.017541957967196174,0.06000000000000001,Standards score
RFP_0006,SKU_111,partially matching,0.7130126682194797,0.6691409972959177,0.8181818181818182,0.34640586376190186,1.0,0.06394863469863477,-0.08007696377507276,0.06000000000000001,Semantic score
RFP_0007,SKU_246,partially matching,0.655409946044286,0.6691409972959177,0.9166666666666666,0.6569220423698425,0.0,0.11319105894105896,0.013077889807309439,-0.13999999999999999,Standards score
RFP_0008,SKU_257,matching,0.7321325421333313,0.6691409972959177,0.7,0.607108473777771,1.0,0.004857725607725627,-0.0018661807703120202,0.06000000000000001,Standards score
RFP_0009,SKU_163,matching,0.74303297996521,0.6691409972959177,0.8,0.4767765998840332,1.0,0.05485772560772567,-0.04096574293843336,0.06000000000000001,Standards score
RFP_0010,SKU_233,matching,0.7924606204032898,0.6691409972959177,0.8,0.6415354013442993,1.0,0.05485772560772567,0.008461897499646475,0.06000000000000001,Standards score
RFP_0011,SKU_265,partially matching,0.562261289358139,0.6691409972959177,0.8,0.5408709645271301,0.0,0.05485772560772567,-0.02173743354550428,-0.13999999999999999,Standards score
RFP_0012,SKU_291,matching,0.7932322561740874,0.6691409972959177,0.8,0.6441075205802917,1.0,0.05485772560772567,0.009233533270444206,0.06000000000000001,Standards score
RFP_0013,SKU_188,partially matching,0.7143089830875398,0.6691409972959177,0.75,0.4643632769584656,1.0,0.02985772560772565,-0.04468973981610364,0.06000000000000001,Standards score
RFP_0014,SKU_278,partially matching,0.6602936267852784,0.6691409972959177,0.5,0.7009787559509277,1.0,-0.09514227439227435,0.026294903881635,0.06000000000000001,Structured score
RFP_0015,SKU_114,matching,0.8000034689903259,0.6691409972959177,0.9,0.5000115633010864,1.0,0.10485772560772566,-0.03399525391331739,0.06000000000000001,Structured score
RFP_0016,SKU_202,partially matching,0.5111442630107587,0.6691409972959177,0.6153846153846154,0.6781731843948364,0.0,-0.03744996669996664,0.01945323241480761,-0.13999999999999999,Standards score
RFP_0017,SKU_217,partially matching,0.6574297587076823,0.6691409972959177,0.5833333333333334,0.5525436401367188,1.0,-0.053475607725607666,-0.018235630862627694,0.06000000000000001,Standards score
