Model,UES (changed rows),Avg |ΔScore|,Avg ΔScore,Rank Stable % (all),Rank Stable % (changed)
SBERT MPNet (sem-only),0.9780804747496009,0.015553918814614702,-0.011324399970032319,0.7364285714285714,0.6180914924446285
SBERT MiniLM-L6,0.9790618234754868,0.0134757609378228,-0.0009080986876932885,0.7717142857142857,0.6692196232664045
TF-IDF + Cosine,0.7128746728699012,0.03180494410961503,-0.022559079146689323,0.6624285714285715,0.5108673152556407
BM25 (Okapi),1.0,0.0,0.0,0.8334285714285714,0.7586421030842476
Exact Structured,1.0,0.0,0.0,1.0,1.0
🏆 Hybrid (Ours),0.9895365519537129,0.006906554519303515,-0.005244087405492001,0.9352857142857143,0.9066445870420203
