Model,Top-1 (Clean),Top-1 (Unit),Δ Top-1,Top-5 (Clean),Top-5 (Unit),Δ Top-5,MRR (Clean),MRR (Unit),Δ MRR,NDCG@5 (Clean),NDCG@5 (Unit),Δ NDCG@5
Random Baseline,0.004571428571428572,0.0054285714285714284,0.0008571428571428567,0.028428571428571428,0.024428571428571428,-0.004,0.02980562935483048,0.02994990524222312,0.0001442758873926378,0.016020547035781457,0.014695909166304855,-0.0013246378694766019
TF-IDF + Cosine,0.11642857142857142,0.08628571428571429,-0.030142857142857138,0.3322857142857143,0.26785714285714285,-0.06442857142857145,0.23214379011080144,0.1841502170203349,-0.047993573090466535,0.22463066069537307,0.17545993537119897,-0.0491707253241741
BM25 (Okapi),0.055857142857142855,0.056,0.00014285714285714596,0.23457142857142857,0.21642857142857144,-0.018142857142857127,0.16505641424480977,0.15028765140123584,-0.014768762843573924,0.14826566629393498,0.13584872088263136,-0.012416945411303615
SBERT MiniLM-L6,0.13257142857142856,0.11028571428571429,-0.02228571428571427,0.32457142857142857,0.2827142857142857,-0.04185714285714287,0.23135738857925883,0.2029870190045991,-0.028370369574659743,0.23152487733630656,0.1995517192180382,-0.03197315811826837
SBERT MPNet (sem-only),0.16528571428571429,0.12657142857142858,-0.0387142857142857,0.3354285714285714,0.28414285714285714,-0.05128571428571427,0.2609322470686875,0.21792616011938848,-0.04300608694929903,0.2483608667316665,0.20492886112547784,-0.04343200560618865
Exact Structured,0.057,0.057,0.0,0.1752857142857143,0.1752857142857143,0.0,0.12935604788774913,0.12935604788774913,0.0,0.11674705514239604,0.11674705514239604,0.0
🏆 Hybrid (Ours),0.178,0.1687142857142857,-0.009285714285714286,0.44342857142857145,0.43142857142857144,-0.01200000000000001,0.3087673109183109,0.3005149390048908,-0.008252371913420098,0.3124508586629584,0.30269196785707453,-0.00975889080588388
