Model,voltage_unit,area_unit,core_notation,cu_notation,al_notation
SBERT MPNet (sem-only),0.9699754695353634,0.9773430404009928,0.9742807277105953,0.9848247272385268,0.9697416419787159
SBERT MiniLM-L6,0.96844485749596,0.9824259416020154,0.9786763283294634,0.980552428410854,0.9807260505115832
TF-IDF + Cosine,0.6535783911694397,0.7580948942832544,0.6394780097480572,0.7294385355416482,0.4826872230908723
BM25 (Okapi),1.0,1.0,1.0,1.0,1.0
Exact Structured,1.0,1.0,1.0,1.0,1.0
🏆 Hybrid (Ours),0.9830311424906784,0.989284887599138,0.9887073422193987,0.9916672684994471,0.9913356262160752
