Model,Full_Top1,Full_Top5,Full_MRR,Full_NDCG,Full_Drop%,Level1_Top1,Level1_Top5,Level1_MRR,Level1_NDCG,Level1_Drop%,Level2_Top1,Level2_Top5,Level2_MRR,Level2_NDCG,Level2_Drop%,Level3_Top1,Level3_Top5,Level3_MRR,Level3_NDCG,Level3_Drop%
Random Baseline,0.004571428571428572,0.028428571428571428,0.02980562935483048,0.016020547035781457,0.0,0.0054285714285714284,0.024428571428571428,0.02994990524222312,0.014695909166304855,18.74999999999999,0.004285714285714286,0.025,0.02934582197920786,0.014417815978078853,-6.250000000000003,0.006285714285714286,0.024,0.029576106784423174,0.014833527131448058,37.49999999999999
TF-IDF + Cosine,0.13428571428571429,0.3242857142857143,0.24597137601466112,0.23258930177044138,0.0,0.055857142857142855,0.174,0.1299509761619279,0.11432327578386074,-58.40425531914894,0.03042857142857143,0.11942857142857143,0.08435295977455383,0.07359385130598069,-77.34042553191489,0.018571428571428572,0.09528571428571428,0.06321476100558938,0.056727690209678966,-86.17021276595744
BM25 (Okapi),0.055857142857142855,0.23457142857142857,0.16505641424480977,0.14826566629393498,0.0,0.04171428571428572,0.16714285714285715,0.11241126739864646,0.10261062291784463,-25.319693094629148,0.02214285714285714,0.10157142857142858,0.06974697544147523,0.06072200498712373,-60.35805626598465,0.012285714285714285,0.053,0.04353714057975702,0.032282775329127086,-78.00511508951406
SBERT MiniLM-L6,0.13257142857142856,0.32457142857142857,0.23135738857925883,0.23152487733630656,0.0,0.05785714285714286,0.16271428571428573,0.12301845935707542,0.1111400029610613,-56.35775862068966,0.028,0.09142857142857143,0.07408457208140022,0.05944285387620854,-78.87931034482759,0.008142857142857143,0.054285714285714284,0.04422964367263573,0.030788781386112657,-93.85775862068965
SBERT MPNet (sem-only),0.16528571428571429,0.3354285714285714,0.2609322470686875,0.2483608667316665,0.0,0.09157142857142857,0.2322857142857143,0.17199865614691037,0.16264025309825467,-44.5980985306828,0.03742857142857143,0.11614285714285714,0.0914519549251852,0.07701728044221885,-77.35522904062229,0.013857142857142858,0.06557142857142857,0.053670921770290037,0.040625926139665924,-91.61624891961971
Exact Structured,0.057,0.1752857142857143,0.12935604788774913,0.11674705514239604,0.0,0.057,0.1752857142857143,0.12935604788774913,0.11674705514239604,0.0,0.057,0.1752857142857143,0.12935604788774913,0.11674705514239604,0.0,0.057,0.1752857142857143,0.12935604788774913,0.11674705514239604,0.0
Hybrid (Ours),0.178,0.44342857142857145,0.3087673109183109,0.3124508586629584,0.0,0.15157142857142858,0.4092857142857143,0.2805354246308758,0.28190664352515027,-14.847512038523266,0.12171428571428572,0.3617142857142857,0.24518424797397348,0.242569480578036,-31.621187800963074,0.10457142857142857,0.32557142857142857,0.22174032651902992,0.21559129275226208,-41.25200642054575
