Token Type,SBERT Top-1,SBERT MRR,Hybrid Top-1,Hybrid MRR
Voltage only,0.05228571428571428,0.15894703401415103,0.15328571428571428,0.28235250375594934
Standard only,0.003,0.051775956761229494,0.11085714285714286,0.2333035739516533
Size only,0.013142857142857144,0.05071979862379807,0.10328571428571429,0.22098371830524158
Armouring only,0.0,0.013043286579138853,0.09757142857142857,0.21008035683487478
Fire rating only,0.01757142857142857,0.042039075686404255,0.09728571428571428,0.21050861006332142
Insulation only,0.001142857142857143,0.03636926273084226,0.09571428571428571,0.20674176616681253
Core count only,0.02214285714285714,0.050598233967763466,0.095,0.21408842711429113
Conductor only,0.0027142857142857142,0.02054251122490857,0.09314285714285714,0.2023398273890922
