Model,Numeric Acc (all 3),Voltage Match %,Core Match %,Size Match %,Compliance Drop %,Avg Score (Clean),Avg Score (Pert),Avg Score Delta,Rank Unstable %
SBERT MPNet (sem-only),0.002,0.16142857142857142,0.1742857142857143,0.07328571428571429,0.45971428571428574,0.706953014586653,0.7096137609822409,0.0026607463955879212,0.6365714285714286
SBERT MiniLM-L6,0.0035714285714285713,0.149,0.19628571428571429,0.07142857142857142,0.5572857142857143,0.6478506102221353,0.6454965973751886,-0.0023540128469467163,0.5571428571428572
TF-IDF + Cosine,0.009142857142857144,0.278,0.3,0.10871428571428571,0.5608571428571428,0.11248395641041653,0.10454432187841407,-0.007939634532002466,0.7011428571428571
BM25 (Okapi),0.003285714285714286,0.14114285714285715,0.15014285714285713,0.08785714285714286,0.0,1.0,1.0,0.0,0.10228571428571431
Exact Structured,0.04042857142857143,0.5227142857142857,0.48857142857142855,0.201,0.0,0.7543867566330092,0.7543867566330092,0.0,0.0
🏆 Hybrid (Ours),0.03014285714285714,0.49228571428571427,0.40485714285714286,0.18428571428571427,0.6424285714285715,0.6691409923647131,0.6657133393415383,-0.0034276530231748307,0.1398571428571429
