Model,Top-1 (Clean),Top-1 (Pert),Δ Top-1,Top-5 (Clean),Top-5 (Pert),Δ Top-5,MRR (Clean),MRR (Pert),Δ MRR,NDCG@5 (Clean),NDCG@5 (Pert),Δ NDCG@5
Random Baseline,0.16528571428571429,0.07271428571428572,-0.09257142857142857,0.3354285714285714,0.19385714285714287,-0.14157142857142854,0.2609322470686875,0.15022419214301308,-0.11070805492567443,0.2483608667316665,0.1323008661141796,-0.11606000061748689
TF-IDF + Cosine,0.131,0.06142857142857143,-0.06957142857142858,0.322,0.1422857142857143,-0.17971428571428572,0.24207397562968494,0.11958038069714479,-0.12249359493254015,0.22857064278278832,0.10129293904499119,-0.12727770373779712
BM25 (Okapi),0.055857142857142855,0.02942857142857143,-0.026428571428571426,0.23457142857142857,0.128,-0.10657142857142857,0.16505641424480977,0.09440523901495672,-0.07065117522985305,0.14826566629393498,0.0797301374264322,-0.06853552886750278
SBERT MiniLM-L6,0.13257142857142856,0.059571428571428574,-0.07299999999999998,0.32457142857142857,0.19314285714285714,-0.13142857142857142,0.23135738857925883,0.13671510084250013,-0.0946422877367587,0.23152487733630656,0.12713718627365844,-0.10438769106264811
SBERT MPNet (sem-only),0.16528571428571429,0.07271428571428572,-0.09257142857142857,0.3354285714285714,0.19385714285714287,-0.14157142857142854,0.2609322470686875,0.15022419214301308,-0.11070805492567443,0.2483608667316665,0.1323008661141796,-0.11606000061748689
Exact Structured,0.057,0.057,0.0,0.1752857142857143,0.1752857142857143,0.0,0.12935604788774913,0.12935604788774913,0.0,0.11674705514239604,0.11674705514239604,0.0
🏆 Hybrid (Ours),0.178,0.15228571428571427,-0.025714285714285717,0.44342857142857145,0.4104285714285714,-0.03300000000000003,0.3087673109183109,0.2829877396253677,-0.02577957129294317,0.3124508586629584,0.28339651585881415,-0.029054342804144262
