rfp_id,model,score_clean,score_start,score_middle,score_end,delta_start,delta_middle,delta_end,rank_stable_start,rank_stable_middle,rank_stable_end
RFP_0001,SBERT MPNet (sem-only),0.6411911249160767,0.5688560605049133,0.5683748126029968,0.5947030782699585,-0.07233506441116333,-0.07281631231307983,-0.046488046646118164,False,False,True
RFP_0001,SBERT MiniLM-L6,0.6115744113922119,0.5789415836334229,0.5572157502174377,0.5452224612236023,-0.03263282775878906,-0.05435866117477417,-0.06635195016860962,True,True,False
RFP_0001,TF-IDF + Cosine,0.15978188812732697,0.10181616991758347,0.07946229726076126,0.10010842978954315,-0.0579657182097435,-0.0803195908665657,-0.059673458337783813,True,True,True
RFP_0001,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,False,True
RFP_0001,Exact Structured,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.0,0.0,True,True,True
RFP_0001,Hybrid (Ours),0.7098403573036194,0.6758996248245239,0.687531590461731,0.6969072818756104,-0.03394073247909546,-0.022308766841888428,-0.012933075428009033,True,True,True
RFP_0002,SBERT MPNet (sem-only),0.7024946212768555,0.6032280325889587,0.5267512202262878,0.555857241153717,-0.09926658868789673,-0.17574340105056763,-0.14663738012313843,False,False,False
RFP_0002,SBERT MiniLM-L6,0.611453115940094,0.5420974493026733,0.47564440965652466,0.5334725379943848,-0.06935566663742065,-0.13580870628356934,-0.07798057794570923,False,False,False
RFP_0002,TF-IDF + Cosine,0.12508222460746765,0.07670798152685165,0.05642160773277283,0.0710800513625145,-0.048374243080616,-0.06866061687469482,-0.054002173244953156,True,True,True
RFP_0002,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0002,Exact Structured,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.0,0.0,True,True,True
