Model,Avg |Δ| START,Avg |Δ| MIDDLE,Avg |Δ| END,Rank Stable START %,Rank Stable MIDDLE %,Rank Stable END %
SBERT MPNet (sem-only),0.07646768297467912,0.12189118022152355,0.10171107479929924,0.4247142857142857,0.25385714285714284,0.38571428571428573
SBERT MiniLM-L6,0.02487653609258788,0.06144224260534559,0.08917918692742076,0.5378571428571428,0.31057142857142855,0.3362857142857143
TF-IDF + Cosine,0.03835295609943569,0.050479745344524936,0.03855773830985917,0.932,0.8625714285714285,0.9305714285714286
BM25 (Okapi),0.0,0.0,0.0,0.938,0.7675714285714286,0.9277142857142857
Exact Structured,0.0,0.0,0.0,1.0,1.0,1.0
Hybrid (Ours),0.022797664633819034,0.03492276925274304,0.02867471405012267,0.8455714285714285,0.7964285714285714,0.8425714285714285
