Model,Clean Volt%,Clean Core%,Clean Both%,START Volt%,START Core%,START Both%,MIDDLE Volt%,MIDDLE Core%,MIDDLE Both%,END Volt%,END Core%,END Both%
SBERT MPNet (sem-only),0.4074285714285714,0.22214285714285714,0.113,0.35928571428571426,0.20142857142857143,0.097,0.2885714285714286,0.1772857142857143,0.07285714285714286,0.308,0.19785714285714287,0.08628571428571429
SBERT MiniLM-L6,0.32357142857142857,0.26471428571428574,0.09557142857142857,0.2527142857142857,0.24214285714285713,0.076,0.21442857142857144,0.21614285714285714,0.05828571428571429,0.20885714285714285,0.22271428571428573,0.06085714285714286
TF-IDF + Cosine,0.4957142857142857,0.6551428571428571,0.27414285714285713,0.4774285714285714,0.636,0.2621428571428571,0.458,0.6141428571428571,0.24771428571428572,0.4745714285714286,0.6355714285714286,0.25871428571428573
BM25 (Okapi),0.19914285714285715,0.15685714285714286,0.04814285714285714,0.19685714285714287,0.16257142857142856,0.05,0.193,0.16028571428571428,0.046285714285714284,0.19842857142857143,0.15871428571428572,0.04814285714285714
Exact Structured,0.5227142857142857,0.48857142857142855,0.21314285714285713,0.5227142857142857,0.48857142857142855,0.21314285714285713,0.5227142857142857,0.48857142857142855,0.21314285714285713,0.5227142857142857,0.48857142857142855,0.21314285714285713
Hybrid (Ours),0.5302857142857142,0.408,0.18585714285714286,0.532,0.40014285714285713,0.18228571428571427,0.5278571428571428,0.401,0.18157142857142858,0.5238571428571429,0.40585714285714286,0.18271428571428572
