Model,Clean_Top1,Clean_Top5,Clean_MRR,Clean_NDCG,Clean_Drop%,START_Top1,START_Top5,START_MRR,START_NDCG,START_Drop%,MIDDLE_Top1,MIDDLE_Top5,MIDDLE_MRR,MIDDLE_NDCG,MIDDLE_Drop%,END_Top1,END_Top5,END_MRR,END_NDCG,END_Drop%
Random Baseline,0.004571428571428572,0.028428571428571428,0.02980562935483048,0.016020547035781457,0.0,0.0054285714285714284,0.024428571428571428,0.02994990524222312,0.014695909166304855,18.74999999999999,0.004285714285714286,0.025,0.02934582197920786,0.014417815978078853,-6.250000000000003,0.006285714285714286,0.024,0.029576106784423174,0.014833527131448058,37.49999999999999
TF-IDF + Cosine,0.11,0.3407142857142857,0.22937384428848817,0.22520651460837948,0.0,0.10485714285714286,0.33371428571428574,0.22293740245217208,0.21994902535137334,-4.675324675324676,0.10285714285714286,0.32771428571428574,0.21890735146074816,0.21690610606306682,-6.493506493506496,0.10585714285714286,0.337,0.22497293016052627,0.22266947672798448,-3.766233766233766
BM25 (Okapi),0.055857142857142855,0.23457142857142857,0.16505641424480977,0.14826566629393498,0.0,0.05142857142857143,0.21971428571428572,0.15682993868601577,0.13852464261153954,-7.928388746803068,0.046,0.20885714285714285,0.14820691924280915,0.1293290151881827,-17.64705882352941,0.05142857142857143,0.21957142857142858,0.1569339026812554,0.13872807743667634,-7.928388746803068
SBERT MiniLM-L6,0.13257142857142856,0.32457142857142857,0.23135738857925883,0.23152487733630656,0.0,0.09914285714285714,0.2735714285714286,0.19317483034196917,0.19119891710936399,-25.215517241379303,0.073,0.22957142857142857,0.15867752552992492,0.15453803270532837,-44.935344827586206,0.07157142857142858,0.2387142857142857,0.1605853007382996,0.15679259719143368,-46.012931034482754
SBERT MPNet (sem-only),0.16528571428571429,0.3354285714285714,0.2609322470686875,0.2483608667316665,0.0,0.09742857142857143,0.24557142857142858,0.1838399072524133,0.17185948694874253,-41.054451166810715,0.07742857142857143,0.2282857142857143,0.16234818627584216,0.151792871888833,-53.15471045808125,0.08728571428571429,0.24371428571428572,0.17396231404178894,0.16426768889695956,-47.19101123595505
Exact Structured,0.057,0.1752857142857143,0.12935604788774913,0.11674705514239604,0.0,0.057,0.1752857142857143,0.12935604788774913,0.11674705514239604,0.0,0.057,0.1752857142857143,0.12935604788774913,0.11674705514239604,0.0,0.057,0.1752857142857143,0.12935604788774913,0.11674705514239604,0.0
Hybrid (Ours),0.178,0.44342857142857145,0.3087673109183109,0.3124508586629584,0.0,0.16071428571428573,0.416,0.28816456388635464,0.2896867867973107,-9.71107544141251,0.15257142857142858,0.407,0.2796853915931565,0.28094635639605675,-14.285714285714276,0.15785714285714286,0.4124285714285714,0.28498935122160507,0.2863390636013201,-11.316211878009623
