Model,Top-1 Acc,Top-5 Acc,Recall@5,MRR,Precision@5,NDCG@5
1. Random Baseline,0.004571428571428572,0.028428571428571428,0.028428571428571428,0.02980562935483048,0.00568571428571429,0.016020547035781457
2. TF-IDF + Cosine,0.11542857142857142,0.32285714285714284,0.32285714285714284,0.23130252496332596,0.06457142857142613,0.2208467868131351
3. BM25 (Okapi),0.055857142857142855,0.23457142857142857,0.23457142857142857,0.16505641424480977,0.04691428571428427,0.14826566629393498
4. SBERT MiniLM-L6,0.13257142857142856,0.32457142857142857,0.32457142857142857,0.23135738857925883,0.06491428571428325,0.23152487733630656
5. SBERT MPNet (sem-only),0.16528571428571429,0.3354285714285714,0.3354285714285714,0.2609322470686875,0.0670857142857117,0.2483608667316665
6. Exact Structured Match,0.057,0.1752857142857143,0.1752857142857143,0.12935604788774913,0.035057142857142086,0.11674705514239604
7. 🏆 Hybrid (Ours),0.178,0.44342857142857145,0.44342857142857145,0.3087673109183109,0.08868571428571488,0.3124508586629584
