Model,Short Top-1,Medium Top-1,Long Top-1,Drop Med %,Drop Long %,Short MRR,Medium MRR,Long MRR,Short Top-5,Medium Top-5,Long Top-5,Short NDCG,Medium NDCG,Long NDCG,n_medium,n_long
Random Baseline,0.004571428571428572,0.005603448275862069,0.006042296072507553,22.575431034482747,32.17522658610271,0.02980562935483048,0.02864087338625083,0.031965956715490025,0.028428571428571428,0.021120689655172414,0.0293482952093224,0.016020547035781457,0.012857733802127862,0.017429606916590543,2320,2317
TF-IDF + Cosine,0.112,0.09655172413793103,0.09192921881743633,-13.793103448275865,-17.920340341574704,0.23310126360796088,0.20900554083639472,0.19841133527401786,0.3452857142857143,0.31939655172413794,0.3034095813552007,0.22883119973623567,0.20923583722766592,0.1981158839869909,2320,2317
BM25 (Okapi),0.055857142857142855,0.052586206896551725,0.038411739318083726,-5.855895581620949,-31.232180248954965,0.16505641424480977,0.14088394509750646,0.11126027871547779,0.23457142857142857,0.20905172413793102,0.1665947345705654,0.14826566629393498,0.1309035112395937,0.10165769418885108,2320,2317
SBERT MiniLM-L6,0.13257142857142856,0.009913793103448277,0.011221406991799741,-92.52192330558859,-91.53557662256485,0.23135738857925883,0.039822611894326364,0.041116274702304625,0.32457142857142857,0.046120689655172416,0.044885627967198964,0.23152487733630656,0.027505496953848546,0.02814805334373671,2320,2317
SBERT MPNet (sem-only),0.16528571428571429,0.01896551724137931,0.013379369874838154,-88.52561618931243,-91.90530776803224,0.2609322470686875,0.058793958575745424,0.05113697444983852,0.3354285714285714,0.0603448275862069,0.050927924039706515,0.2483608667316665,0.038636835023463434,0.03115646941497664,2320,2317
Exact Structured,0.057,0.05646551724137931,0.05740181268882175,-0.9376890502117365,0.7049345417925457,0.12935604788774913,0.132069901172543,0.12901212607742849,0.1752857142857143,0.18318965517241378,0.1756581786793267,0.11674705514239604,0.1202348459480468,0.11658190231260038,2320,2317
Hybrid (Ours),0.178,0.12413793103448276,0.11696158826068191,-30.259589306470357,-34.291242550178694,0.3087673109183109,0.2477429947584144,0.2417079566911481,0.44342857142857145,0.36551724137931035,0.3590850237375917,0.3124508586629584,0.24525408005108562,0.23888110870166188,2320,2317
